logwavrest logwavobs lognuLnu logfnu
-0.244 0.601 9.861 -1.051
-0.242 0.604 9.864 -1.046
-0.239 0.606 9.867 -1.041
-0.237 0.608 9.87 -1.035
-0.235 0.61 9.881 -1.022
-0.233 0.612 9.916 -0.984
-0.231 0.614 9.962 -0.937
-0.229 0.617 9.938 -0.959
-0.226 0.619 9.91 -0.984
-0.224 0.621 9.905 -0.987
-0.222 0.623 9.9 -0.99
-0.22 0.625 9.9 -0.988
-0.218 0.627 9.907 -0.979
-0.216 0.63 9.926 -0.957
-0.213 0.632 9.915 -0.966
-0.211 0.634 9.926 -0.953
-0.209 0.636 9.931 -0.946
-0.207 0.638 9.944 -0.931
-0.205 0.64 9.967 -0.905
-0.203 0.643 9.974 -0.897
-0.2 0.645 10.007 -0.861
-0.198 0.647 10.022 -0.844
-0.196 0.649 10.058 -0.806
-0.194 0.651 10.079 -0.783
-0.192 0.653 10.134 -0.726
-0.19 0.656 10.22 -0.638
-0.187 0.658 10.35 -0.505
-0.185 0.66 10.588 -0.265
-0.183 0.662 11.012 0.161
-0.181 0.664 10.699 -0.15
-0.179 0.666 10.423 -0.423
-0.177 0.669 10.287 -0.557
-0.174 0.671 10.197 -0.645
-0.172 0.673 10.163 -0.677
-0.17 0.675 10.08 -0.758
-0.168 0.677 10.057 -0.779
-0.166 0.679 10.053 -0.781
-0.164 0.682 10.05 -0.781
-0.161 0.684 10.051 -0.778
-0.159 0.686 10.038 -0.79
-0.157 0.688 10.043 -0.782
-0.155 0.69 10.054 -0.769
-0.153 0.692 10.081 -0.74
-0.151 0.695 10.077 -0.742
-0.148 0.697 10.055 -0.761
-0.146 0.699 10.069 -0.745
-0.144 0.701 10.058 -0.754
-0.142 0.703 10.05 -0.76
-0.14 0.705 10.069 -0.739
-0.138 0.708 10.059 -0.747
-0.135 0.71 10.079 -0.725
-0.133 0.712 10.047 -0.754
-0.131 0.714 10.059 -0.74
-0.129 0.716 10.059 -0.738
-0.127 0.718 10.075 -0.72
-0.125 0.721 10.068 -0.725
-0.122 0.723 10.077 -0.714
-0.12 0.725 10.056 -0.732
-0.118 0.727 10.035 -0.751
-0.116 0.729 10.027 -0.757
-0.114 0.731 10.043 -0.738
-0.112 0.734 10.053 -0.727
-0.109 0.736 10.097 -0.68
-0.107 0.738 10.062 -0.713
-0.105 0.74 10.053 -0.721
-0.103 0.742 10.065 -0.706
-0.101 0.744 10.008 -0.761
-0.099 0.747 10.009 -0.758
-0.096 0.749 10.01 -0.754
-0.094 0.751 10.012 -0.75
-0.092 0.753 10.013 -0.747
-0.09 0.755 10.014 -0.743
-0.088 0.757 10.016 -0.74
-0.086 0.76 10.017 -0.737
-0.083 0.762 10.022 -0.729
-0.081 0.764 10.02 -0.73
-0.079 0.766 10.021 -0.726
-0.077 0.768 10.028 -0.717
-0.075 0.77 10.087 -0.656
-0.073 0.773 10.152 -0.589
-0.07 0.775 10.1 -0.638
-0.068 0.777 10.087 -0.649
-0.066 0.779 10.066 -0.668
-0.064 0.781 10.041 -0.691
-0.062 0.783 10.045 -0.685
-0.06 0.786 10.031 -0.697
-0.057 0.788 10.032 -0.694
-0.055 0.79 10.033 -0.691
-0.053 0.792 10.034 -0.687
-0.051 0.794 10.035 -0.684
-0.049 0.796 10.036 -0.681
-0.047 0.799 10.036 -0.678
-0.044 0.801 10.054 -0.658
-0.042 0.803 10.1 -0.61
-0.04 0.805 10.048 -0.66
-0.038 0.807 10.083 -0.623
-0.036 0.809 10.136 -0.568
-0.034 0.812 10.121 -0.581
-0.031 0.814 10.047 -0.653
-0.029 0.816 10.043 -0.654
-0.027 0.818 10.044 -0.651
-0.025 0.82 10.044 -0.649
-0.023 0.822 10.108 -0.583
-0.021 0.824 10.203 -0.486
-0.018 0.827 10.126 -0.561
-0.016 0.829 10.079 -0.605
-0.014 0.831 10.082 -0.6
-0.012 0.833 10.048 -0.632
-0.01 0.835 10.049 -0.629
-0.008 0.837 10.053 -0.623
-0.005 0.84 10.09 -0.584
-0.003 0.842 10.086 -0.585
-0.001 0.844 10.159 -0.51
0.001 0.846 10.216 -0.451
0.003 0.848 10.208 -0.457
0.005 0.85 10.136 -0.527
0.008 0.853 10.084 -0.576
0.01 0.855 10.053 -0.605
0.012 0.857 10.053 -0.603
0.014 0.859 10.054 -0.6
0.016 0.861 10.055 -0.597
0.018 0.863 10.063 -0.587
0.021 0.866 10.111 -0.536
0.023 0.868 10.108 -0.537
0.025 0.87 10.095 -0.548
0.027 0.872 10.13 -0.511
0.029 0.874 10.149 -0.489
0.031 0.876 10.289 -0.348
0.034 0.879 10.457 -0.178
0.036 0.881 10.5 -0.132
0.038 0.883 10.405 -0.225
0.04 0.885 10.328 -0.3
0.042 0.887 10.158 -0.468
0.044 0.889 10.088 -0.536
0.047 0.892 10.091 -0.53
0.049 0.894 10.062 -0.558
